,Number,Input_A1_001,Input_A1_002,Input_A1_003,Input_A1_004,Input_A1_005,Input_A1_006,Input_A1_007,Input_A1_009,Input_A1_011,Input_A1_012,Input_A1_013,Input_A1_014,Input_A1_015,Input_A1_016,Input_A1_017,Input_A1_018,Input_A1_019,Input_A1_021,Input_A1_022,Input_A1_023,Input_A1_024,Input_A2_001,Input_A2_002,Input_A2_003,Input_A2_004,Input_A2_005,Input_A2_006,Input_A2_007,Input_A2_009,Input_A2_011,Input_A2_012,Input_A2_013,Input_A2_014,Input_A2_015,Input_A2_018,Input_A2_019,Input_A2_020,Input_A2_021,Input_A2_022,Input_A2_023,Input_A3_001,Input_A3_002,Input_A3_003,Input_A3_004,Input_A3_005,Input_A3_006,Input_A3_007,Input_A3_009,Input_A3_011,Input_A3_012,Input_A3_014,Input_A3_019,Input_A3_020,Input_A3_021,Input_A3_022,Input_A3_023,Input_A3_024,Input_A4_001,Input_A4_002,Input_A4_003,Input_A4_004,Input_A4_005,Input_A4_006,Input_A4_007,Input_A4_009,Input_A4_011,Input_A4_012,Input_A4_013,Input_A4_014,Input_A4_015,Input_A4_016,Input_A4_017,Input_A4_018,Input_A4_019,Input_A4_020,Input_A4_021,Input_A4_022,Input_A4_023,Input_A4_024,Input_A5_001,Input_A5_002,Input_A5_003,Input_A5_004,Input_A5_005,Input_A5_006,Input_A5_007,Input_A5_009,Input_A5_011,Input_A5_012,Input_A5_013,Input_A5_014,Input_A5_015,Input_A5_016,Input_A5_017,Input_A5_018,Input_A5_019,Input_A5_020,Input_A5_021,Input_A5_022,Input_A5_023,Input_A5_024,Input_A6_002,Input_A6_003,Input_A6_004,Input_A6_005,Input_A6_006,Input_A6_007,Input_A6_009,Input_A6_012,Input_A6_013,Input_A6_014,Input_A6_015,Input_A6_016,Input_A6_017,Input_A6_018,Input_A6_020,Input_A6_021,Input_A6_022,Input_A6_023,Input_C_001,Input_C_005,Input_C_007,Input_C_008,Input_C_010,Input_C_011,Input_C_012,Input_C_014,Input_C_039,Input_C_040,Input_C_041,Input_C_042,Input_C_043,Input_C_044,Input_C_045,Input_C_047,Input_C_048,Input_C_051,Input_C_052,Input_C_053,Input_C_054,Input_C_055,Input_C_056,Input_C_059,Input_C_060,Input_C_061,Input_C_062,Input_C_092,Input_C_093,Input_C_094,Input_C_095,Input_C_097,Input_C_098,Input_C_099,Input_C_100,Input_C_101,Input_C_102,Input_C_103,Input_C_104,Input_C_105,Input_C_106,Input_C_107,Input_C_108,Input_C_109,Input_C_110,Input_C_111,Input_C_112,Input_C_113,Input_C_114,Input_C_115,Input_C_116,Input_C_117,Input_C_118,Input_C_119,Input_C_120,Input_C_121,Input_C_122,Input_C_123,Input_C_124,Input_C_125,Input_C_126,Input_C_127,Input_C_128,Input_C_129,Input_C_130,Input_C_131,Input_C_133,Input_C_134,Input_C_135,Input_C_136,Input_C_137,Output_A1,Output_A2,Output_A3,Output_A4,Output_A5,Output_A6,Input_C_015_Y,Input_C_015_X,Input_C_016_Y,Input_C_016_X,Input_C_017_Y,Input_C_017_X,Input_C_018_Y,Input_C_018_X,Input_C_019_Y,Input_C_019_X,Input_C_020_Y,Input_C_020_X,Input_C_021_Y,Input_C_021_X,Input_C_022_Y,Input_C_022_X,Input_C_023_Y,Input_C_023_X,Input_C_024_Y,Input_C_024_X,Input_C_025_Y,Input_C_025_X,Input_C_026_Y,Input_C_026_X,Input_C_027_Y,Input_C_027_X,Input_C_028_Y,Input_C_028_X,Input_C_029_Y,Input_C_029_X,Input_C_030_Y,Input_C_030_X,Input_C_031_Y,Input_C_031_X,Input_C_032_Y,Input_C_032_X,Input_C_033_Y,Input_C_033_X,Input_C_034_Y,Input_C_034_X,Input_C_035_Y,Input_C_035_X,Input_C_036_Y,Input_C_036_X,Input_C_037_Y,Input_C_037_X,Input_C_038_Y,Input_C_038_X,Predict
86,Train87,0.0,0.0,0.02,0.03,0.08,0.004,0.018000000000000002,0.002,0.004,0.01,0.008,0.006,-0.02,-0.02,-0.03,-0.02,-0.01,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.008,0.008,0.002,0.002,0.01,0.006,0.006,-0.03,-0.03,-0.01,0.2,0.5,0.01,0.01,0.0,0.0,0.0,0.02,0.03,0.004,0.002,0.002,0.005,0.008,0.004,-0.02,0.2,0.6,0.03,0.03,0.03,0.08,0.06,0.03,0.0,0.0,0.004,0.003,0.003,0.002,0.004,0.004,0.006,0.03,-0.03,-0.02,-0.03,-0.03,0.2,0.6,0.04,0.04,0.04,0.0,0.0,0.02,0.04,0.08,0.004,0.016,0.003,0.005,0.008,0.004,0.008,0.03,-0.01,-0.03,-0.02,-0.01,0.2,0.5,0.03,0.03,0.03,0.0,0.02,0.05,0.1,0.006,0.005,0.005,0.01,0.006,0.004,-0.02,-0.03,-0.03,-0.02,0.2,0.6,0.01,0.01,3.5,0.0,0.0,3.0,0.02,0.003,0.005,0.005,0.0013,0.0008,0.0015,0.001,0.0009,0.0011,0.0014,0.0012,0.0012,0.002,0.008,0.003,0.006,0.011000000000000001,0.005,0.004,0.006999999999999999,834.0,834.0,0.01048730356002689,0.012882860333606992,0.01387418885150088,0.012870233354758558,0.012731993367128852,0.011736534653542519,0.01367359459404796,0.010917403312336038,0.011337747281244287,0.012933743659022306,0.011193987432474954,15.953690296986045,0.009804507536724578,0.008277550012563237,0.009032447715534797,0.008933344926230616,0.008678250396962212,0.008333844104786062,0.009284887532518299,0.01019827197379694,159.06851882607802,0.032720458016785026,0.026290712714169183,0.02659880543185869,0.02680159130897589,0.03146065264977007,0.027419127114803127,0.02850819822986017,0.03189412859566514,0.029796524362102193,0.02893406299536136,0.03137439016367864,0.02920838042829002,0.027911533643665762,0.028021881483004774,0.025996935105253124,0.033979383992120527,0.030233532630265902,0.02446803477810716,-0.009000000000000001,-0.008,3.8,1.0,2.0,3.737,4.229,3.3310000000000004,4.263999999999999,3.0469999999999997,2.803,1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,-1.0,1.0,1.0,3.0,0.0,-2.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,3.0,0.004
87,Train88,0.0,0.0,0.0,0.0,0.0,0.016,0.008,0.003,0.005,0.008,0.002,0.006,0.02,-0.02,-0.05,-0.04,-0.05,0.523,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.002,0.006,0.002,0.004,0.01,0.002,0.002,0.03,-0.04,-0.05,0.1,0.42200000000000004,0.01,0.01,0.0,0.0,0.02,0.04,0.08,0.01,0.006,0.002,0.003,0.008,0.002,-0.03,0.2,0.5329999999999999,0.02,0.02,0.02,0.07,0.05,0.03,0.0,0.0,0.002,0.01,0.004,0.004,0.01,0.004,0.004,0.01,-0.04,-0.03,-0.05,-0.03,0.0,0.562,0.03,0.03,0.03,0.0,0.0,0.03,0.07,0.14,0.004,0.006,0.003,0.004,0.01,0.002,0.002,0.02,-0.05,-0.03,-0.05,-0.04,0.0,0.496,0.03,0.03,0.03,0.0,0.0,0.02,0.04,0.005,0.01,0.003,0.008,0.004,0.004,0.02,-0.04,-0.05,-0.05,0.0,0.501,0.01,0.01,4.0,0.002,0.002,3.0,0.02,0.003,0.005,0.006,0.0012,0.001,0.0004,0.0006,0.0004,0.0006,0.0007,0.0009,0.0013,0.002,0.013999999999999999,0.002,0.013999999999999999,0.018000000000000002,0.004,0.006,0.011000000000000001,834.0,834.0,0.01,0.02,0.02,0.01,0.01,0.0,0.01,0.01,0.02,0.01,0.01,15.95,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.01,159.07,0.04,0.02,0.04,0.02,0.03,0.02,0.03,0.02,0.02,0.04,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.01,0.006999999999999999,0.006,3.7,1.0,1.0,3.675,3.56,4.659,3.752,3.411,3.7880000000000003,0.0,0.0,2.0,0.0,-2.0,0.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,2.0,1.0,-2.0,1.0,-1.0,0.0,0.0,-5.0,0.0,-5.0,1.0,-5.0,2.0,-5.0,0.0,2.0,0.0,2.0,1.0,-2.0,1.0,-3.0,0.004
88,Train89,0.08,0.06,0.03,0.0,0.0,0.001,0.024,0.004,0.004,0.009000000000000001,0.008,0.004,-0.01,-0.05,-0.04,-0.04,-0.05,0.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,0.02,0.002,0.004,0.004,0.006,0.006,0.03,-0.05,-0.05,0.1,0.588,0.01,0.01,0.07,0.05,0.03,0.0,0.0,0.01,0.027999999999999997,0.003,0.004,0.006,0.008,-0.04,0.3,0.5710000000000001,0.02,0.02,0.02,0.0,0.0,0.0,0.02,0.03,0.002,0.026000000000000002,0.003,0.003,0.004,0.006,0.004,-0.04,-0.05,-0.04,-0.04,-0.05,0.1,0.598,0.01,0.01,0.01,0.15,0.13,0.06,0.03,0.0,0.01,0.018000000000000002,0.002,0.004,0.003,0.002,0.008,-0.02,-0.04,-0.04,-0.05,-0.05,0.2,0.53,-0.01,-0.01,-0.01,0.0,0.0,0.02,0.04,0.005,0.018000000000000002,0.002,0.004,0.002,0.006,0.02,-0.05,-0.05,-0.05,0.1,0.588,0.02,0.02,4.2,0.002,0.002,3.0,0.02,0.003,0.005,0.005,0.0014,0.0013,0.0006,0.0008,0.0005,0.0006,0.0006,0.0007,0.0009,0.003,0.005,0.004,0.003,0.008,0.005,0.004,0.016,834.0,835.0,0.01,0.02,0.02,0.02,0.0,0.01,0.01,0.02,0.01,0.0,0.01,15.93,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,159.07,0.03,0.04,0.03,0.04,0.04,0.02,0.04,0.03,0.02,0.04,0.04,0.02,0.04,0.03,0.04,0.04,0.03,0.03,-0.006999999999999999,-0.006,3.9,1.0,1.0,3.3680000000000003,2.93,4.2589999999999995,3.8360000000000003,4.412,4.092,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-3.0,-1.0,-5.0,0.0,-4.0,0.0,-7.0,1.0,0.0,0.0,-2.0,1.0,-2.0,1.0,-3.0,0.004
89,Train90,0.0,0.0,0.0,0.0,0.0,0.008,0.01,0.002,0.004,0.008,0.004,0.006,0.02,-0.01,-0.01,-0.02,-0.02,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.006,0.003,0.002,0.006,0.006,0.006,-0.01,-0.03,-0.01,1.8,0.59,-0.01,-0.01,0.16,0.14,0.07,0.03,0.0,0.008,0.006,0.002,0.003,0.006,0.008,-0.02,0.5,0.57,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.004,0.006,0.002,0.004,0.01,0.008,0.004,0.03,-0.01,-0.01,-0.02,-0.01,2.6,0.53,0.02,0.02,0.02,0.16,0.14,0.07,0.03,0.0,0.004,0.002,0.002,0.004,0.01,0.004,0.004,0.01,-0.01,-0.02,-0.01,-0.02,1.5,0.59,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.002,0.002,0.01,0.006,0.006,-0.02,-0.01,-0.01,-0.01,0.7,0.54,-0.01,-0.01,3.6,0.0,0.002,2.5,0.02,0.002,0.004,0.005,0.0011,0.001,0.0023,0.0008,0.0014,0.0005,0.0006,0.001,0.0009,0.003,0.011000000000000001,0.003,0.004,0.006,0.003,0.006,0.016,834.0,835.0,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02,15.98,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,159.07,0.01,0.04,0.01,0.02,0.01,0.04,0.03,0.04,0.05,0.04,0.01,0.03,0.04,0.01,0.01,0.01,0.01,0.05,-0.006,-0.006999999999999999,4.0,2.0,2.0,3.944,4.38,3.805,3.734,4.4430000000000005,4.995,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,-3.0,-1.0,-5.0,1.0,-4.0,1.0,-5.0,0.0,1.0,-1.0,-4.0,1.0,-3.0,1.0,-2.0,0.004
90,Train91,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,0.01,0.004,0.002,0.01,0.004,0.002,0.02,-0.02,-0.02,-0.02,-0.02,0.574,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.07,0.004,0.006,0.005,0.004,0.009000000000000001,0.002,0.006,-0.02,-0.02,-0.03,2.0,0.564,-0.01,-0.01,0.0,0.0,0.02,0.04,0.09,0.004,0.012,0.004,0.004,0.008,0.002,-0.05,0.2,0.5870000000000001,0.02,0.02,0.02,0.0,0.0,0.02,0.04,0.09,0.008,0.008,0.004,0.002,0.008,0.004,0.004,-0.04,-0.03,-0.02,-0.02,-0.03,0.0,0.552,0.02,0.02,0.02,0.0,0.0,0.03,0.07,0.13,0.006,0.008,0.005,0.003,0.006,0.004,0.004,0.02,-0.04,-0.04,-0.03,-0.04,0.1,0.531,0.01,0.01,0.01,0.0,0.02,0.03,0.08,0.002,0.008,0.002,0.009000000000000001,0.002,0.004,0.04,-0.03,-0.03,-0.03,0.1,0.589,-0.01,-0.01,3.6,0.002,0.0,3.5,0.02,0.003,0.005,0.005,0.0007,0.0009,0.0011,0.0009,0.0013,0.0012,0.0012,0.0011,0.0008,0.003,0.012,0.003,0.012,0.013000000000000001,0.005,0.005,0.023,834.0,835.0,0.01,0.01,0.02,0.01,0.0,0.01,0.01,0.02,0.02,0.02,0.01,15.94,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,159.07,0.03,0.02,0.02,0.03,0.04,0.03,0.03,0.04,0.02,0.03,0.04,0.03,0.03,0.04,0.03,0.04,0.03,0.03,0.006,0.006,3.7,1.0,1.0,3.969,3.963,4.15,4.0760000000000005,4.85,3.693,0.0,0.0,2.0,-1.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,-3.0,-1.0,-4.0,1.0,2.0,1.0,-3.0,0.0,0.0,0.0,-2.0,2.0,-3.0,1.0,1.0,0.004
91,Train92,0.17,0.15,0.08,0.04,0.0,0.004,0.01,0.002,0.004,0.008,0.008,0.008,0.05,-0.02,-0.02,-0.03,-0.02,0.564,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.002,0.018000000000000002,0.003,0.004,0.004,0.006,0.006,-0.01,-0.04,-0.04,0.1,0.542,0.02,0.02,0.12,0.09,0.05,0.02,0.0,0.004,0.012,0.003,0.005,0.006,0.004,-0.03,0.0,0.531,0.03,0.03,0.03,0.0,0.0,0.02,0.03,0.08,0.008,0.013999999999999999,0.002,0.005,0.008,0.004,0.006,0.02,-0.04,-0.04,-0.04,-0.04,0.3,0.5920000000000001,0.02,0.02,0.02,0.0,0.0,0.0,0.03,0.05,0.002,0.012,0.003,0.004,0.008,0.002,0.008,0.01,-0.05,-0.04,-0.04,-0.05,0.1,0.588,0.02,0.02,0.02,0.05,0.03,0.0,0.0,0.006,0.012,0.003,0.009000000000000001,0.006,0.002,-0.03,-0.04,-0.03,-0.03,0.1,0.597,0.04,0.04,3.8,0.002,0.0,3.0,0.02,0.003,0.004,0.005,0.0007,0.0005,0.0009,0.001,0.0003,0.001,0.0009,0.0007,0.0007,0.002,0.004,0.003,0.002,0.006,0.004,0.004,0.013000000000000001,834.0,835.0,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.02,15.94,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,159.07,0.01,0.02,0.02,0.03,0.01,0.02,0.02,0.03,0.03,0.02,0.01,0.02,0.03,0.04,0.01,0.02,0.03,0.01,-0.006,-0.005,3.7,1.0,1.0,3.718,3.352,3.2569999999999997,3.197,3.116,3.045,-0.1,-0.2,0.5,0.0,0.0,-1.2,0.1,-0.6,0.1,0.0,-0.1,-0.4,0.6,-1.2,0.8,-1.2,0.1,0.0,-0.2,1.2,0.2,0.2,0.8,0.4,0.4,0.1,0.1,1.2,0.1,0.9,0.9,0.0,0.1,1.0,-0.3,-2.3,1.2,-2.3,0.1,-3.5,1.0,2.0,0.8,-0.9,2.0,-1.8,1.8,0.7,0.004
92,Train93,0.0,0.0,0.0,0.02,0.03,0.002,0.013999999999999999,0.003,0.001,0.01,0.004,0.002,-0.03,-0.01,-0.02,-0.04,-0.02,0.4,0.0,0.0,0.0,0.07,0.05,0.03,0.0,0.0,0.008,0.018000000000000002,0.005,0.004,0.008,0.006,0.002,-0.02,-0.01,-0.03,0.2,0.4,-0.01,-0.01,0.07,0.05,0.03,0.0,0.0,0.01,0.016,0.003,0.002,0.008,0.004,-0.04,0.2,0.6,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.012,0.016,0.004,0.004,0.008,0.002,0.004,-0.02,-0.01,-0.03,-0.02,-0.01,0.1,0.4,0.02,0.02,0.02,0.0,0.0,0.02,0.04,0.07,0.006,0.016,0.002,0.002,0.01,0.004,0.006,0.01,-0.03,-0.02,-0.03,-0.03,0.1,0.5,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.013999999999999999,0.02,0.005,0.01,0.002,0.002,-0.05,-0.02,-0.01,-0.01,0.01,0.5,-0.02,-0.02,3.6,0.002,0.002,2.5,0.02,0.003,0.005,0.005,0.0017,0.0011,0.0009,0.001,0.0007,0.0011,0.0013,0.0006,0.0006,0.005,0.006999999999999999,0.003,0.005,0.009000000000000001,0.005,0.003,0.01,834.0,835.0,0.01,0.01,0.02,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.02,15.92,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,159.07,0.01,0.01,0.02,0.02,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.03,0.04,0.005,0.003,3.8,1.0,1.0,4.618,4.511,3.721,4.5680000000000005,4.508,4.269,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,1.0,-4.0,0.0,-4.0,1.0,-3.0,1.0,-5.0,0.0,-4.0,0.0,-3.0,1.0,-3.0,1.0,-4.0,0.004
93,Train94,0.12,0.1,0.05,0.02,0.0,0.006,0.02,0.005,0.003,0.01,0.006,0.004,-0.01,-0.01,-0.01,-0.02,-0.02,0.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.005,0.002,0.006,0.004,0.006,0.01,-0.02,-0.01,1.8,0.597,0.01,0.01,0.08,0.06,0.03,0.0,0.0,0.004,0.012,0.004,0.002,0.01,0.004,-0.01,0.9,0.521,0.03,0.03,0.03,0.07,0.05,0.03,0.0,0.0,0.006,0.018000000000000002,0.004,0.002,0.01,0.002,0.002,-0.01,-0.01,-0.03,-0.03,-0.02,2.1,0.591,0.03,0.03,0.03,0.0,0.0,0.0,0.02,0.03,0.003,0.02,0.004,0.002,0.01,0.002,0.004,-0.02,-0.01,-0.02,-0.01,-0.01,1.5,0.5870000000000001,0.02,0.02,0.02,0.14,0.07,0.03,0.0,0.004,0.02,0.005,0.01,0.004,0.002,0.02,-0.03,-0.01,-0.02,0.7,0.521,0.0,0.0,3.5,0.0,0.002,3.0,0.02,0.003,0.004,0.006,0.0019,0.0012,0.0008,0.0009,0.0007,0.0011,0.0011,0.0007,0.0007,0.005,0.009000000000000001,0.004,0.008,0.015,0.006,0.005,0.023,834.0,834.0,0.01,0.02,0.02,0.02,0.01,0.0,0.01,0.02,0.02,0.01,0.02,15.95,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,159.07,0.03,0.03,0.04,0.04,0.03,0.02,0.03,0.04,0.02,0.02,0.01,0.01,0.02,0.04,0.03,0.02,0.04,0.04,-0.008,-0.008,3.7,1.0,1.0,3.6189999999999998,2.915,3.4189999999999996,2.9960000000000004,3.65,3.0810000000000004,0.0,0.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,-2.0,1.0,-1.0,1.0,0.0,-3.0,0.0,-3.0,2.0,-4.0,2.0,-3.0,0.0,3.0,0.0,-2.0,1.0,4.0,1.0,-2.0,0.004
94,Train95,0.0,0.0,0.03,0.06,0.12,0.002,0.005,0.005,0.002,0.01,0.006,0.008,0.01,-0.03,-0.03,-0.04,-0.03,0.537,-0.01,-0.01,-0.01,0.0,0.0,0.02,0.04,0.09,0.006,0.004,0.004,0.002,0.006,0.004,0.004,0.0,-0.04,-0.04,0.0,0.569,-0.02,-0.02,0.0,0.0,0.0,0.0,0.0,0.005,0.008,0.003,0.004,0.01,0.004,-0.04,1.0,0.523,-0.02,-0.02,-0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.002,0.002,0.002,0.008,0.006,0.006,0.0,-0.04,-0.05,-0.04,-0.04,0.0,0.5429999999999999,-0.03,-0.03,-0.03,0.0,0.0,0.0,0.03,0.05,0.002,0.003,0.003,0.004,0.006,0.008,0.008,0.01,-0.03,-0.02,-0.03,-0.03,0.0,0.5820000000000001,-0.02,-0.02,-0.02,0.0,0.0,0.02,0.04,0.002,0.012,0.004,0.008,0.008,0.002,0.0,-0.04,-0.04,-0.04,3.3,0.59,-0.01,0.0,3.3,0.0,0.002,2.5,0.01,0.003,0.005,0.006999999999999999,0.0011,0.0007,0.0007,0.0007,0.0005,0.0008,0.0007,0.0007,0.0008,0.002,0.015,0.002,0.013000000000000001,0.015,0.005,0.006,0.031,834.0,835.0,0.01,0.01,0.02,0.01,0.0,0.01,0.02,0.01,0.01,0.0,0.02,15.96,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,159.07,0.01,0.01,0.04,0.02,0.02,0.04,0.03,0.04,0.04,0.03,0.03,0.04,0.02,0.02,0.02,0.04,0.02,0.03,0.004,0.004,3.5,1.5,1.5,3.233,3.7230000000000003,3.3930000000000002,3.915,3.424,3.761,0.0,0.0,2.0,0.0,-2.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,-1.0,0.0,0.0,1.0,1.0,1.0,-2.0,-1.0,0.0,0.0,1.0,0.0,2.0,1.0,-2.0,1.0,-1.0,1.0,0.0,-3.0,0.0,-4.0,1.0,-4.0,0.0,-4.0,1.0,0.0,0.0,-4.0,1.0,-2.0,0.0,-4.0,0.004
95,Train96,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,0.006,0.002,0.002,0.008,0.004,0.006,0.03,-0.05,-0.05,-0.05,-0.05,0.563,0.0,0.0,0.0,0.1,0.08,0.04,0.02,0.0,0.002,0.008,0.004,0.002,0.006999999999999999,0.002,0.004,0.02,-0.04,-0.04,0.0,0.452,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.008,0.004,0.002,0.006,0.002,-0.03,0.3,0.555,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.006,0.01,0.004,0.004,0.01,0.004,0.002,0.01,-0.05,-0.03,-0.04,-0.03,0.4,0.423,0.02,0.02,0.02,0.0,0.0,0.0,0.02,0.03,0.002,0.01,0.002,0.002,0.01,0.006,0.004,0.02,-0.04,-0.05,-0.02,-0.04,0.0,0.552,0.01,0.01,0.01,0.0,0.0,0.02,0.03,0.002,0.008,0.002,0.01,0.004,0.006,0.01,-0.05,-0.03,-0.05,0.0,0.588,-0.02,-0.02,3.5,0.0,0.002,3.0,0.01,0.003,0.005,0.006999999999999999,0.0008,0.0009,0.001,0.0009,0.0014,0.0012,0.0013,0.0009,0.0009,0.003,0.008,0.005,0.006,0.008,0.005,0.006,0.02,834.0,834.0,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.0,0.01,0.01,15.91,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,159.07,0.04,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.01,0.01,0.01,0.04,0.04,0.04,0.01,0.004,0.004,3.6,1.0,1.0,4.005,3.865,3.8089999999999997,3.866,3.826,3.821,1.0,0.0,1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-3.0,1.0,-3.0,2.0,-3.0,2.0,-3.0,0.0,-1.0,1.0,-1.0,1.0,0.0,1.0,-1.0,0.004
96,Train97,0.0,0.0,0.0,0.0,0.0,0.01,0.008,0.004,0.004,0.008,0.004,0.008,0.02,-0.03,-0.02,-0.05,-0.04,0.45299999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.004,0.016,0.005,0.004,0.008,0.006,0.006,0.03,-0.04,-0.04,0.0,0.536,0.01,0.01,0.0,0.02,0.04,0.08,0.17,0.006,0.01,0.003,0.002,0.006,0.004,-0.03,0.4,0.586,0.03,0.03,0.03,0.12,0.09,0.05,0.02,0.0,0.002,0.012,0.002,0.004,0.01,0.008,0.006,0.02,-0.05,-0.05,-0.02,-0.05,0.1,0.574,0.02,0.02,0.02,0.0,0.0,0.02,0.04,0.09,0.004,0.006,0.005,0.003,0.006,0.004,0.004,0.03,-0.04,-0.03,-0.02,-0.02,0.0,0.544,0.02,0.02,0.02,0.07,0.04,0.02,0.0,0.002,0.013999999999999999,0.004,0.01,0.008,0.006,0.02,-0.04,-0.05,-0.05,0.0,0.588,0.0,0.0,3.5,0.002,0.002,3.0,0.02,0.003,0.004,0.005,0.0013,0.0009,0.002,0.0005,0.0006,0.0006,0.001,0.0012,0.001,0.004,0.013000000000000001,0.003,0.008,0.009000000000000001,0.004,0.006,0.021,835.0,835.0,0.01,0.02,0.01,0.0,0.01,0.01,0.02,0.01,0.02,0.01,0.0,15.93,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01,159.07,0.03,0.03,0.02,0.04,0.04,0.02,0.03,0.03,0.03,0.02,0.03,0.04,0.04,0.02,0.02,0.04,0.01,0.02,0.005,0.003,3.7,1.0,1.0,4.101,3.752,3.634,3.998,3.408,3.367,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-2.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,1.0,-2.0,1.0,-1.0,0.004
